sno,gmaps_place_id,gmaps_name,gmaps_formatted_address,gmaps_latitude,gmaps_longitude,gmaps_opening_hours_weekday_text,gmaps_website,gmaps_phone,gmaps_rating,gmaps_user_ratings_total,gmaps_editorial_summary,gmaps_url,gmaps_directions_url,gmaps_plus_code_global,gmaps_plus_code_compound,gmaps_addr_country,gmaps_addr_postal_code,gmaps_addr_postal_town,gmaps_addr_admin_area_level_1,gmaps_addr_admin_area_level_2,description_short,age_range,conditions_supported,specific_services,organization_type,status,last_verified
42,ChIJkT7EThIPdkgRvot2E7YK1CM,United Response Head Office,"Unit CO.3B, Corinthian House, 17 Lansdowne Rd, Croydon CR0 2BX, UK",51.377172,-0.0960736,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.unitedresponse.org.uk/,+44 20 8016 5678,5,4,,https://maps.google.com/?cid=2581700263516998590,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJkT7EThIPdkgRvot2E7YK1CM,9C3X9WG3+VH,"9WG3+VH Croydon, UK",United Kingdom,CR0 2BX,Croydon,England,Greater London,,,,,,,
43,ChIJYxzkD7wEdkgRKETdKh9UAhs,Choice Support,"100 Westminster Bridge Rd, London SE1 7XA, UK",51.4988247,-0.1109047,Monday: Closed; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: Closed; Thursday: 9:00?AM?�?5:00?PM; Friday: Closed; Saturday: Closed; Sunday: Closed,http://www.choicesupport.org.uk/,+44 20 7261 4100,4.4,14,,https://maps.google.com/?cid=1946210481817338920,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJYxzkD7wEdkgRKETdKh9UAhs,9C3XFVXQ+GJ,"FVXQ+GJ London, UK",United Kingdom,SE1 7XA,London,England,Greater London,,,,,,,
44,ChIJAQAA4bWk2EcRjNJN6aN0Rao,Sycamore Trust U.K. Autism Hub,"Unit H14, Laurie Walk,, Romford RM1 3RT, UK",51.579553,0.1836542,,http://www.sycamoretrust.org.uk/,+44 1708 749816,5,4,,https://maps.google.com/?cid=12269341007183467148,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJAQAA4bWk2EcRjNJN6aN0Rao,9F32H5HM+RF,"H5HM+RF Romford, UK",United Kingdom,RM1 3RT,Romford,England,Greater London,,,,,,,
45,ChIJFVBoZTys2EcRCX6LOZ14Ej4,Avenues Group,"1 Maidstone Rd, Foots Cray, Sidcup DA14 5TA, UK",51.4184918,0.1204476,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://www.avenuesgroup.org.uk/,+44 20 3535 0500,3.9,15,,https://maps.google.com/?cid=4472769996602965513,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJFVBoZTys2EcRCX6LOZ14Ej4,9F32C49C+95,"C49C+95 Sidcup, UK",United Kingdom,DA14 5TA,Sidcup,England,Greater London,,,,,,,
46,ChIJ894u4y0ddkgRAstcnwdIqQI,The Tower Project JET Service,"22 Copperfield Rd, London E3 4RL, UK",51.5200729,-0.0360017,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.towerproject.org.uk/,+44 20 8980 3500,4.4,18,,https://maps.google.com/?cid=191763656715586306,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ894u4y0ddkgRAstcnwdIqQI,9C3XGXC7+2H,"GXC7+2H London, UK",United Kingdom,E3 4RL,London,England,Greater London,,,,,,,
47,ChIJVVv_x6IFdkgRZprWYw1TsgY,Share Community Ltd,"64 Altenburg Gardens, London SW11 1JL, UK",51.4640049,-0.1630069,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.sharecommunity.org.uk/,+44 20 7924 2949,4.2,26,,https://maps.google.com/?cid=482539427056753254,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJVVv_x6IFdkgRZprWYw1TsgY,9C3XFR7P+JQ,"FR7P+JQ London, UK",United Kingdom,SW11 1JL,London,England,Greater London,,,,,,,
48,ChIJK_8uQmCBdkgRQK_897Ia96o,Optalis,"Trinity Court, 70 Molly Millars Ln, Wokingham RG41 2PY, UK",51.404345,-0.8445138,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.optalis.org/,+44 118 977 8600,3.9,20,,https://maps.google.com/?cid=12319344661662314304,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJK_8uQmCBdkgRQK_897Ia96o,9C3XC534+P5,"C534+P5 Wokingham, UK",United Kingdom,RG41 2PY,Wokingham,England,Berkshire,,,,,,,
49,ChIJvd3IGBcSdkgR3reXjDcnlfA,Certitude,"31-33, Lumiere Court, 209 Balham High Rd, London SW17 7BQ, UK",51.440132,-0.1550511,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://www.certitude.london/,+44 20 8772 6222,4.1,31,,https://maps.google.com/?cid=17335805460168030174,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJvd3IGBcSdkgR3reXjDcnlfA,9C3XCRRV+3X,"CRRV+3X London, UK",United Kingdom,SW17 7BQ,London,England,Greater London,,,,,,,
50,ChIJI8018Pyk2EcR-mHTQTwmfkE,Carers Of Barking & Dagenham,"334 Heathway, Dagenham RM10 8NJ, UK",51.5447741,0.1482448,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.carerscentre.org.uk/,+44 20 8593 4422,4.5,31,,https://maps.google.com/?cid=4719251499775123962,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJI8018Pyk2EcR-mHTQTwmfkE,9F32G4VX+W7,"G4VX+W7 Dagenham, UK",United Kingdom,RM10 8NJ,Dagenham,England,Greater London,,,,,,,
51,ChIJo2SVCOUZdkgRTRROCKsUz-s,Barnet Carers Centre,"Global House, 303 Ballards Ln, London N12 8NP, UK",51.6120652,-0.1786122,Monday: 9:00?AM?�?5:30?PM; Tuesday: 9:00?AM?�?5:30?PM; Wednesday: 9:00?AM?�?5:30?PM; Thursday: 9:00?AM?�?5:30?PM; Friday: 9:00?AM?�?5:30?PM; Saturday: Closed; Sunday: Closed,http://www.barnetcarers.org/,+44 20 8343 9698,4,20,,https://maps.google.com/?cid=16991822643903468621,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJo2SVCOUZdkgRTRROCKsUz-s,9C3XJR6C+RH,"JR6C+RH London, UK",United Kingdom,N12 8NP,London,England,Greater London,,,,,,,
52,ChIJpTjkL6UQdkgR6yWbDq1Dm4Y,Resources for Autism,"858 Finchley Rd, London NW11 6AB, UK",51.586529,-0.1995574,Monday: 9:00?AM?�?5:30?PM; Tuesday: 9:00?AM?�?5:30?PM; Wednesday: 9:00?AM?�?5:30?PM; Thursday: 9:00?AM?�?5:30?PM; Friday: 9:00?AM?�?5:30?PM; Saturday: Closed; Sunday: Closed,http://www.resourcesforautism.org.uk/,+44 20 8458 3259,4.6,46,,https://maps.google.com/?cid=9699420633025947115,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJpTjkL6UQdkgR6yWbDq1Dm4Y,9C3XHRP2+J5,"HRP2+J5 London, UK",United Kingdom,NW11 6AB,London,England,Greater London,,,,,,,
53,ChIJW72-W5IXdkgROIH2GGihYPI,Kids In Sync,"76 Shenley Rd, Borehamwood WD6 1EH, UK",51.6556448,-0.2758745,Monday: 9:00?AM?�?5:30?PM; Tuesday: 9:00?AM?�?5:30?AM; Wednesday: 9:00?AM?�?5:30?AM; Thursday: 9:00?AM?�?5:30?AM; Friday: 9:30?AM?�?5:30?PM; Saturday: 10:00?AM?�?5:00?PM; Sunday: Closed,http://www.kidsinsync.com/,+44 20 8441 3201,3.9,22,,https://maps.google.com/?cid=17465136823410262328,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJW72-W5IXdkgROIH2GGihYPI,9C3XMP4F+7M,"MP4F+7M Borehamwood, UK",United Kingdom,WD6 1EH,Borehamwood,England,Hertfordshire,,,,,,,
55,ChIJ_SPMIaABdkgRjqKJwTd7UmA,Choice Support,"243-247, Beckenham Rd, Beckenham BR3 4RP, UK",51.4097421,-0.04524479999999999,,https://www.choicesupport.org.uk/,+44 20 8464 2897,,,,https://maps.google.com/?cid=6940745455131796110,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ_SPMIaABdkgRjqKJwTd7UmA,9C3XCX53+VW,"CX53+VW Beckenham, UK",United Kingdom,BR3 4RP,Beckenham,England,Greater London,,,,,,,
56,ChIJoaMG-g6bdkgRibm4Udn7T10,Autism Berkshire,"Autism Berkshire, Quadrant House, Broad Street Mall, Reading RG1 7QE, UK",51.4547581,-0.9759169999999999,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.autismberkshire.org.uk/,+44 118 959 4594,4.5,10,,https://maps.google.com/?cid=6723869679484975497,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJoaMG-g6bdkgRibm4Udn7T10,9C3XF23F+WJ,"F23F+WJ Reading, UK",United Kingdom,RG1 7QE,Reading,England,Berkshire,,,,,,,
58,ChIJe71t0DOu2EcRI-GjLZqjV3c,Bexley Voice,"Learning and Enterprise College Bexley, 5 Brampton Rd, Bexleyheath DA7 4EZ, UK",51.4609898,0.1262218,Monday: 9:30?AM?�?5:00?PM; Tuesday: 9:30?AM?�?5:00?PM; Wednesday: 9:30?AM?�?5:00?PM; Thursday: 9:30?AM?�?5:00?PM; Friday: 9:30?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.bexleyvoice.org.uk/,+44 7512 409936,5,2,,https://maps.google.com/?cid=8599521896073257251,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJe71t0DOu2EcRI-GjLZqjV3c,9F32F46G+9F,"F46G+9F Bexleyheath, UK",United Kingdom,DA7 4EZ,Bexleyheath,England,Greater London,,,,,,,
59,ChIJfSSlg-bA2EcRodDNMH0gN3U,BOSP,"Wat Tyler Country Park, Pitsea Hall Ln, Pitsea, Basildon SS16 4UH, UK",51.5511217,0.506207,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.bosp.co.uk/,+44 1268 553117,4.5,4,,https://maps.google.com/?cid=8446255348218450081,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJfSSlg-bA2EcRodDNMH0gN3U,9F32HG24+CF,"HG24+CF Basildon, UK",United Kingdom,SS16 4UH,Basildon,England,Essex,,,,,,,
60,ChIJyaRYreq-2EcRGcWwG0OFJjo,SNAP Charity,"Pastoral Way, Warley, Brentwood CM14 5WF, UK",51.6079032,0.2953089,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,http://www.snapcharity.org/,+44 1277 211300,5,51,,https://maps.google.com/?cid=4190183026588697881,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJyaRYreq-2EcRGcWwG0OFJjo,9F32J75W+54,"J75W+54 Brentwood, UK",United Kingdom,CM14 5WF,Brentwood,England,Essex,,,,,,,
61,ChIJcwzrf5kBdkgRtr-kUdwkwJk,CASPA's Big Bang Science & IT Club,"Choice Support, Hub, 243-247 Beckenham Rd, Beckenham BR3 4RP, UK",51.4097453,-0.0452626,Monday: Closed; Tuesday: Closed; Wednesday: 6:30?�?8:00?PM; Thursday: Closed; Friday: Closed; Saturday: Closed; Sunday: Closed,https://www.caspabromley.org.uk/,+44 7940 168701,,,,https://maps.google.com/?cid=11078895612012576694,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJcwzrf5kBdkgRtr-kUdwkwJk,9C3XCX53+VV,"CX53+VV Beckenham, UK",United Kingdom,BR3 4RP,Beckenham,England,Greater London,,,,,,,
62,ChIJ_e6AOCQAdkgRkJ3_7cHq1mM,The Beckenham & Penge Gateway Club,"Melvin Hall, Melvin Rd, London SE20 8EU, UK",51.4108294,-0.0569052,Monday: 9:00?AM?�?3:00?PM; Tuesday: 9:00?AM?�?3:00?PM; Wednesday: 9:00?AM?�?3:00?PM; Thursday: 9:00?AM?�?3:00?PM; Friday: 9:00?AM?�?3:00?PM; Saturday: Closed; Sunday: Closed,http://thegatewayclub.co.uk/,+44 7711 635943,5,2,,https://maps.google.com/?cid=7194195573413485968,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ_e6AOCQAdkgRkJ3_7cHq1mM,9C3XCW6V+86,"CW6V+86 London, UK",United Kingdom,SE20 8EU,London,England,Greater London,,,,,,,
63,ChIJJYCTu2eq2EcRBy3Jwb7nLJA,The Lorna Wing Centre for Autism,"ELLIOT HOUSE, 113 Masons Hill, Bromley BR2 9HT, UK",51.3971992,0.0232077,Monday: 9:30?AM?�?5:30?PM; Tuesday: 9:30?AM?�?5:30?PM; Wednesday: 9:30?AM?�?5:30?PM; Thursday: 9:30?AM?�?5:30?PM; Friday: 9:30?AM?�?5:30?PM; Saturday: Closed; Sunday: Closed,https://www.autism.org.uk/what-we-do/diagnosticservices,+44 20 8466 0098,4.9,15,,https://maps.google.com/?cid=10388933246917881095,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJJYCTu2eq2EcRBy3Jwb7nLJA,9F3292WF+V7,"92WF+V7 Bromley, UK",United Kingdom,BR2 9HT,Bromley,England,Greater London,,,,,,,
65,ChIJy3qukIwadkgRxwbDeg70xng,Wac Arts,"Old Town Hall, 213 Haverstock Hill, Belsize Park, London NW3 4QP, UK",51.5511169,-0.1662773,Monday: 9:00?AM?�?9:00?PM; Tuesday: 9:00?AM?�?9:00?PM; Wednesday: 9:00?AM?�?9:00?PM; Thursday: 9:00?AM?�?9:00?PM; Friday: 9:00?AM?�?9:00?PM; Saturday: 9:00?AM?�?9:00?PM; Sunday: 9:00?AM?�?9:00?PM,http://www.wacarts.co.uk/,+44 20 7692 5800,4.5,185,,https://maps.google.com/?cid=8702911672966383303,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJy3qukIwadkgRxwbDeg70xng,9C3XHR2M+CF,"HR2M+CF London, UK",United Kingdom,NW3 4QP,London,England,Greater London,,,,,,,
66,ChIJb6CUS_wadkgRqgncJNeap08,The Camden Society,"60 Holmes Rd, London NW5 3AQ, UK",51.50624939999999,-0.1001249,Monday: 9:00?AM?�?5:30?PM; Tuesday: 9:00?AM?�?5:30?PM; Wednesday: 9:00?AM?�?5:30?PM; Thursday: 9:00?AM?�?5:30?PM; Friday: 9:00?AM?�?5:30?PM; Saturday: Closed; Sunday: Closed,http://www.thecamdensociety.co.uk/,+44 300 303 1280,4.9,11,,https://maps.google.com/?cid=5739726498934032810,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJb6CUS_wadkgRqgncJNeap08,9C3XGV4X+FX,"GV4X+FX London, UK",United Kingdom,NW5 3AQ,London,England,Greater London,,,,,,,
67,ChIJBVswS-zp2EcRzJaQX6_rHdM,ADHD+ Support,"66 Church Rd, Boreham, Chelmsford CM3 3BW, UK",51.7565177,0.5417373999999999,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,https://adhd-support.org.uk/,+44 7866 129728,2,1,,https://maps.google.com/?cid=15212574254782518988,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJBVswS-zp2EcRzJaQX6_rHdM,9F32QG4R+JM,"QG4R+JM Chelmsford, UK",United Kingdom,CM3 3BW,Chelmsford,England,Essex,,,,,,,
68,ChIJz3DM6NTr2EcRM_WhJ-oJKW0,Families InFocus (Essex),"Townfield House, 30-33 Townfield St, Chelmsford CM1 1QL, UK",51.7379455,0.4693866,Monday: 10:00?AM?�?4:00?PM; Tuesday: 10:00?AM?�?4:00?PM; Wednesday: 10:00?AM?�?4:00?PM; Thursday: 10:00?AM?�?4:00?PM; Friday: 10:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,https://www.familiesinfocusessex.org.uk/,+44 1245 353575,4.5,11,,https://maps.google.com/?cid=7865829125471204659,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJz3DM6NTr2EcRM_WhJ-oJKW0,9F32PFQ9+5Q,"PFQ9+5Q Chelmsford, UK",United Kingdom,CM1 1QL,Chelmsford,England,Essex,,,,,,,
69,ChIJH575_HJddkgR-k7VbWGOXTA,Chiltern Music Therapy,"Office A, Irfon House, Stones Courtyard, Chesham HP5 1DE, UK",51.70701,-0.6109519999999999,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://www.chilternmusictherapy.co.uk/,+44 1442 780541,3.7,7,,https://maps.google.com/?cid=3485098235760299770,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJH575_HJddkgR-k7VbWGOXTA,9C3XP94Q+RJ,"P94Q+RJ Chesham, UK",United Kingdom,HP5 1DE,Chesham,England,Buckinghamshire,,,,,,,
70,ChIJSS1dFDcHdkgRf4mFQoMCfXE,Carers Information Service,"Carers Support Centre, 24 George St, Croydon CR0 1PB, UK",51.3736966,-0.0990196,Monday: 10:00?AM?�?1:00?PM; Tuesday: 10:00?AM?�?1:00?PM; Wednesday: 10:00?AM?�?1:00?PM; Thursday: Closed; Friday: 10:00?AM?�?1:00?PM; Saturday: Closed; Sunday: Closed,https://www.carersinfo.org.uk/,+44 20 8649 9339,4.4,28,,https://maps.google.com/?cid=8177695261154707839,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJSS1dFDcHdkgRf4mFQoMCfXE,9C3X9WF2+F9,"9WF2+F9 Croydon, UK",United Kingdom,CR0 1PB,Croydon,England,Greater London,,,,,,,
71,ChIJgydB6dEAdkgRJPqALG0dgxU,Croydon Mencap,"61 Leslie Park Rd, Croydon CR0 6TP, UK",51.3794026,-0.08648249999999999,Monday: 9:00?AM?�?4:30?PM; Tuesday: 9:00?AM?�?4:30?PM; Wednesday: 9:00?AM?�?4:30?PM; Thursday: 9:00?AM?�?4:30?PM; Friday: 9:00?AM?�?4:30?PM; Saturday: Closed; Sunday: Closed,http://www.croydonmencap.org.uk/,+44 20 8662 9201,4.3,10,,https://maps.google.com/?cid=1550115051480873508,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJgydB6dEAdkgRJPqALG0dgxU,9C3X9WH7+QC,"9WH7+QC Croydon, UK",United Kingdom,CR0 6TP,Croydon,England,Greater London,,,,,,,
72,ChIJ2RwRa_0HdkgR93Rq3uXxTEc,Our Space Community Centre - Disability Croydon,"50 High St, Croydon CR0 1YB, UK",51.3719765,-0.100557,Monday: 9:30?AM?�?3:30?PM; Tuesday: 9:30?AM?�?3:30?PM; Wednesday: 9:30?AM?�?3:30?PM; Thursday: 9:30?AM?�?3:30?PM; Friday: Closed; Saturday: Closed; Sunday: Closed,https://www.disabilitycroydon.org.uk/,+44 20 8688 3622,4.8,4,,https://maps.google.com/?cid=5137747244504216823,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ2RwRa_0HdkgR93Rq3uXxTEc,9C3X9VCX+QQ,"9VCX+QQ Croydon, UK",United Kingdom,CR0 1YB,Croydon,England,Greater London,,,,,,,
73,ChIJ67sKT7sBdkgRxX1oFbmg_eE,Nordoff Robbins Music Therapy Centre Croydon,"62 The Crescent, London CR0 2HN, UK",51.3895366,-0.0909668,,https://www.nordoff-robbins.org.uk/locations/england/london-and-south-east-england/croydon-music-therapy-centre/,+44 20 8610 9500,5,4,,https://maps.google.com/?cid=16284348544430144965,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ67sKT7sBdkgRxX1oFbmg_eE,9C3X9WQ5+RJ,"9WQ5+RJ London, UK",United Kingdom,CR0 2HN,London,England,Greater London,,,,,,,
74,ChIJ7c_3EoYNdkgRrYWb4Le2wmM,Ealing Mencap,"The Lido Centre, 63 Mattock Ln, London W13 9LA, UK",51.5102352,-0.3189787,,http://www.ealingmencap.org.uk/,+44 20 8280 2222,5,1,,https://maps.google.com/?cid=7188508856100292013,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ7c_3EoYNdkgRrYWb4Le2wmM,9C3XGM6J+3C,"GM6J+3C London, UK",United Kingdom,W13 9LA,London,England,Greater London,,,,,,,
75,ChIJczoUK6QWdkgR521EjPM3nd0,ADDISS,"Cavendish House, 369 Burnt Oak Broadway, Edgware HA8 5AW, UK",51.60711939999999,-0.2758849,,http://www.addiss.co.uk/,+44 20 8952 2800,4.4,10,,https://maps.google.com/?cid=15968981372895522279,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJczoUK6QWdkgR521EjPM3nd0,9C3XJP4F+RJ,"JP4F+RJ Edgware, UK",United Kingdom,HA8 5AW,Edgware,England,Greater London,,,,,,,
76,ChIJsYJBXnMfdkgRNuxtC-QfdO4,Enfield Advisory Service for Autism,"Bell Ln, Enfield EN3 5PA, UK",51.6658815,-0.0362519,Monday: 9:00?AM?�?4:00?PM; Tuesday: 9:00?AM?�?4:00?PM; Wednesday: 9:00?AM?�?4:00?PM; Thursday: 9:00?AM?�?4:00?PM; Friday: 9:00?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,http://www.enfieldasa.org.uk/,+44 7921 298440,4.8,53,,https://maps.google.com/?cid=17182393542630042678,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJsYJBXnMfdkgRNuxtC-QfdO4,9C3XMX87+9F,"MX87+9F Enfield, UK",United Kingdom,EN3 5PA,Enfield,England,Greater London,,,,,,,
78,ChIJy2kFEcxs2UcRcD2IuJyVnO8,Essex Carers Support,"Imperial House, Rosemary Rd, Clacton-on-Sea CO15 1NZ, UK",51.7894279,1.155623,Monday: 9:00?AM?�?4:30?PM; Tuesday: 9:00?AM?�?4:30?PM; Wednesday: 9:00?AM?�?4:30?PM; Thursday: 9:00?AM?�?4:30?PM; Friday: 9:00?AM?�?4:30?PM; Saturday: Closed; Sunday: Closed,http://www.essexcarerssupport.org.uk/,+44 1255 474410,4,4,,https://maps.google.com/?cid=17265839571775012208,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJy2kFEcxs2UcRcD2IuJyVnO8,9F33Q5Q4+Q6,"Q5Q4+Q6 Clacton-on-Sea, UK",United Kingdom,CO15 1NZ,Clacton-on-Sea,England,Essex,,,,,,,
79,ChIJQ6f3LN2m2EcRlOsvLu1s6m0,Uniting Friends Ltd,"92-94 Beehive Ln, Gants Hill, Ilford IG4 5EG, UK",51.5769343,0.0601843,Monday: 9:00?AM?�?6:00?PM; Tuesday: 9:00?AM?�?6:00?PM; Wednesday: 9:00?AM?�?6:00?PM; Thursday: 9:00?AM?�?6:00?PM; Friday: 9:00?AM?�?6:00?PM; Saturday: 10:00?AM?�?4:00?PM; Sunday: 10:00?AM?�?4:00?PM,https://www.unitingfriends.org.uk/,+44 20 8551 8800,4.3,21,,https://maps.google.com/?cid=7920262660622379924,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJQ6f3LN2m2EcRlOsvLu1s6m0,9F32H3G6+Q3,"H3G6+Q3 Ilford, UK",United Kingdom,IG4 5EG,Ilford,England,Greater London,,,,,,,
81,ChIJ0Xx9v2yp2EcRE1at74pj3jY,Social Arts For Education,"253 Eltham High St, London SE9 1TY, UK",51.4508281,0.0629464,Monday: 8:45?AM?�?4:00?PM; Tuesday: 8:45?AM?�?4:00?PM; Wednesday: 8:45?AM?�?4:00?PM; Thursday: 8:45?AM?�?4:00?PM; Friday: 8:45?AM?�?4:00?PM; Saturday: Closed; Sunday: Closed,http://www.safeschoolbexley.co.uk/,,4.5,2,,https://maps.google.com/?cid=3953706971255625235,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ0Xx9v2yp2EcRE1at74pj3jY,9F32F327+85,"F327+85 London, UK",United Kingdom,SE9 1TY,London,England,Greater London,,,,,,,
82,ChIJU5j4r6Wp2EcRTXaNo5FOT1g,Greenwich Toy & Leisure Library,"Newhaven Gardens, London SE9 6HQ, UK",51.46055819999999,0.0387482,,http://www.gtlla.org.uk/,+44 20 8854 7090,,,,https://maps.google.com/?cid=6363391185918981709,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJU5j4r6Wp2EcRTXaNo5FOT1g,9F32F26Q+6F,"F26Q+6F London, UK",United Kingdom,SE9 6HQ,London,England,Greater London,,,,,,,
83,ChIJ8UkzcfgcdkgROTclhYsdgxs,Huddleston Centre,"Marie Lloyd Centre, 329 Queensbridge Rd, London E8 3LA, UK",51.5413916,-0.0701197,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: Closed; Sunday: Closed,http://huddlestoncentre.org.uk/,+44 20 8985 9089,4.5,6,,https://maps.google.com/?cid=1982460746044618553,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ8UkzcfgcdkgROTclhYsdgxs,9C3XGWRH+HX,"GWRH+HX London, UK",United Kingdom,E8 3LA,London,England,Greater London,,,,,,,
84,ChIJ-y0IH9MbdkgRw1LGc--HPiA,CPotential,"143 Coppetts Rd, London N10 1JP, UK",51.6029491,-0.1548565,Monday: 9:00?AM?�?5:00?PM; Tuesday: 9:00?AM?�?5:00?PM; Wednesday: 9:00?AM?�?5:00?PM; Thursday: 9:00?AM?�?5:00?PM; Friday: 9:00?AM?�?5:00?PM; Saturday: 9:00?AM?�?3:00?PM; Sunday: Closed,https://cpotential.org.uk/,+44 20 8444 7242,4.8,19,,https://maps.google.com/?cid=2323443920279065283,https://www.google.com/maps/dir/?api=1&destination_place_id=ChIJ-y0IH9MbdkgRw1LGc--HPiA,9C3XJR3W+53,"JR3W+53 London, UK",United Kingdom,N10 1JP,London,England,Greater London,,,,,,,
